Trajectory	Frame	x	y	z
1	831	24.21	32.598	0
1	832	24.25	32.494	0
1	833	24.418	32.583	0
1	834	24.082	32.385	0
1	835	24.47	32.365	0
1	836	24.445	32.391	0
1	837	24.644	32.261	0
1	838	24.321	32.322	0
1	839	24.401	32.388	0
1	840	24.164	32.209	0
1	841	24.393	32.278	0
1	842	24.355	32.334	0
1	843	24.491	32.271	0
1	844	24.234	32.406	0
1	845	24.261	32.54	0
1	846	24.266	32.555	0
1	847	23.913	32.183	0
1	848	24.259	32.461	0
1	849	24.423	32.843	0
1	850	24.702	32.54	0
1	851	24.347	32.828	0
1	852	24.223	33.248	0
1	853	24.298	32.906	0
1	854	24.377	32.603	0
1	855	24.359	32.497	0
1	856	24.383	32.843	0
1	857	24.437	32.949	0
1	858	23.929	32.91	0
1	859	23.498	32.651	0
1	860	23.96	32.57	0
1	861	23.749	32.684	0
1	862	23.739	32.224	0
1	863	24.089	32.449	0
1	864	23.871	32.508	0
1	865	24.191	32.546	0
1	866	24.074	32.738	0
1	867	24.29	32.858	0
1	868	24.543	32.458	0
1	869	24.623	32.333	0
1	870	24.364	32.54	0
1	871	24.653	32.771	0
1	872	24.664	32.417	0
1	873	24.843	32.27	0
1	874	24.662	32.463	0
1	875	24.79	32.374	0
1	876	25.594	31.968	0
1	877	25.779	31.84	0
1	878	25.747	31.706	0
1	879	25.729	31.601	0
1	880	25.591	31.426	0
1	881	25.504	31.547	0
1	882	25.572	31.741	0
1	883	25.662	31.504	0
1	884	25.802	31.386	0
1	885	26.511	31.541	0
1	886	26.659	32.108	0
1	887	26.445	32.072	0
1	888	26.021	31.799	0
1	889	25.787	31.745	0
1	890	25.913	31.359	0
1	891	26.237	31.138	0
1	892	25.685	30.712	0
1	893	25.932	30.538	0
1	894	26.227	30.533	0
1	895	26.572	30.205	0
1	896	26.66	30.444	0
1	897	26.32	31.067	0
1	898	25.933	31.338	0
1	899	25.594	31.343	0
1	900	25.587	31.425	0
1	901	25.745	31.3	0
1	902	25.813	31.594	0
1	903	26.039	31.314	0
1	904	25.693	31.15	0
1	905	25.741	30.874	0
1	906	25.651	30.65	0
1	907	25.46	30.82	0
1	908	25.839	30.85	0
1	909	26.134	31.125	0
1	910	25.742	31.559	0
1	911	25.805	31.548	0
1	912	25.624	31.531	0
1	913	25.836	31.216	0
1	914	25.712	31.446	0
1	915	25.576	31.73	0
1	916	25.737	31.545	0
1	917	25.621	31.469	0
1	918	25.594	32.021	0
1	919	25.565	31.775	0
1	920	26.476	31.586	0
1	921	26.245	31.618	0
1	922	25.692	30.957	0
1	923	25.68	31.609	0
1	924	25.416	31.948	0
1	925	25.535	31.69	0
1	926	25.278	32.188	0
1	927	25.436	33.334	0
1	928	25.733	33.802	0
1	929	25.62	34.364	0
1	930	25.531	34.221	0
1	931	25.677	34.468	0
1	932	25.6	34.611	0
1	933	25.861	34.323	0
1	934	26.009	34.334	0
1	935	25.667	34.218	0
1	936	26.056	34.369	0
1	937	25.716	34.515	0
1	938	25.531	34.297	0
1	939	25.527	34.313	0
1	940	25.623	34.5	0
1	941	25.617	34.197	0
1	942	26.153	34.254	0
1	943	25.815	34.427	0
1	944	26.292	34.593	0
1	945	26.085	34.269	0
1	946	26.028	34.506	0
1	947	26.098	34.16	0
1	948	26.176	34.118	0
1	949	26.354	34.394	0
1	950	26.232	34.076	0
1	951	26.26	33.923	0
1	952	26.315	34.143	0
1	953	26.392	34.218	0
1	954	26.55	34.053	0
1	955	26.678	34.114	0
1	956	26.529	34.104	0
1	957	26.344	33.914	0
1	958	25.821	33.819	0
1	959	25.721	33.455	0
1	960	24.893	33.211	0
1	961	24.562	33.512	0
1	962	24.26	33.337	0
1	963	23.962	32.76	0
1	964	23.734	32.3	0
1	965	23.665	32.474	0
1	966	24.176	32.754	0
1	967	24.579	32.941	0
1	968	24.313	33.112	0
1	969	24.337	33.153	0
1	970	24.379	33.132	0
1	971	24.396	33.404	0
1	972	24.263	33.869	0
1	973	24.368	33.69	0
1	974	23.866	34.081	0
1	975	23.891	34.25	0
1	976	23.746	34.663	0
1	977	23.395	35.197	0
1	978	23.627	35.393	0
1	979	23.707	35.694	0
1	980	24	36.438	0
1	981	24.067	35.857	0
1	982	24.471	35.624	0
1	983	23.865	35.811	0
1	984	23.387	36.631	0
1	985	23.311	37.018	0
1	986	22.65	36.686	0
1	987	22.586	36.775	0
1	988	22.506	36.67	0
1	989	22.54	36.439	0
1	990	23.264	37.142	0
1	991	23.096	36.797	0
